"Ply","CPL","Rank","nMoves","Move"
1,0,1,20,"e4"
2,-15,4,20,"c6"
3,-5,3,30,"Nf3"
4,0,1,21,"d5"
5,-17,3,29,"exd5"
6,0,1,30,"cxd5"
7,0,1,27,"d4"
8,-15,4,28,"Bg4"
9,-16,2,33,"Be2"
10,0,2,31,"Nc6"
11,-2,3,34,"O-O"
12,-9,2,36,"Nf6"
13,-7,4,31,"Bf4"
14,-15,2,37,"Qb6"
15,0,1,37,"Nc3"
16,0,1,42,"Bxf3"
17,0,1,38,"Bxf3"
18,0,1,36,"Qxd4"
19,-59,8,40,"Qc1"
20,-305,11,41,"e6"
21,0,1,39,"Nb5"
22,-254,5,47,"Qb6"
23,0,1,40,"Nc7+"
24,0,1,4,"Kd7"
25,0,1,38,"Nxa8"
26,-77,4,42,"Qa5"
27,0,1,36,"c4"
28,-32,2,44,"Bd6"
29,-78,2,36,"Bxd6"
30,0,1,45,"Kxd6"
31,-244,3,32,"Qf4+"
32,0,1,5,"e5"
33,0,1,40,"Qg5"
34,-87,5,44,"Rg8"
35,0,1,41,"Rfe1"
36,-54,3,43,"d4"
37,-321,10,45,"a3"
38,-338,3,42,"h6"
39,0,1,45,"Qg3"
40,0,1,42,"Rxa8"
41,-84,2,35,"Bxc6"
42,-31,2,41,"bxc6"
43,-313,3,35,"Qxg7"
44,0,1,38,"Ke7"
45,-118,2,35,"Qxh6"
46,0,1,37,"e4"
47,0,1,37,"Qf4"
48,-9,2,40,"Rd8"
49,0,1,38,"b4"
50,0,1,38,"Qh5"
51,-54,7,37,"Qc7+"
52,0,1,5,"Rd7"
53,-18,2,35,"Qxc6"
54,-5,2,35,"Qe5"
55,-9,2,37,"Rad1"
56,-16,3,32,"d3"
57,-146,14,35,"Qc5+"
58,-162,2,6,"Ke6"
59,-84,6,33,"f3"
60,-136,8,34,"Qd4+"
61,0,1,4,"Qxd4"
62,0,1,19,"Rxd4"
63,-172,11,21,"fxe4"
64,-5,2,21,"Nxe4"
65,-16,3,18,"c5"
66,-2,2,17,"Kd5"
67,0,1,18,"Re3"
68,0,1,19,"d2"
69,-200,9,24,"Re2"
70,-456,11,18,"Nc3"
71,-404,2,25,"Rdxd2"
72,0,1,15,"Nxe2+"
73,0,1,4,"Rxe2"
74,-26,4,15,"Rd1+"
75,0,1,2,"Kf2"
76,-39,7,17,"Ra1"
77,-24,3,21,"Rc2"
78,0,1,18,"Kc6"
79,0,1,17,"b5+"
80,0,1,5,"Kc7"
81,0,1,18,"Rc3"
82,0,1,18,"Rb1"
83,0,1,20,"a4"
84,-78,4,20,"Rb2+"
85,0,1,7,"Kg3"
86,-2,2,19,"Ra2"
87,0,1,18,"Rc4"
88,0,1,18,"Ra3+"
89,-7,3,5,"Kh4"
90,0,1,19,"Re3"
